tweet
RT @HDGregg: Standing with Israel in its brutal attack on Gaza is standing with Genocide. #IStandWithPalestine #GazaUnderAttack @RepGosar
"Zionism = Jewish Civil/National Rights. 

Anti-Zionism is the deepest type of Antisemitism; denying the rights of Jews to defend themselves!

Say NO to #BDS https://t.co/WaSH26rP4G"
"@admediaoffice @InvestAbuDhabi Stop Normatization wit apartied regaim🚫
Israel committed vioalny crimes against innocent children A13woman and elder people in Palestine A7
#FreePalestine 🇵🇸🇵🇸🇵🇸"
Who condemns israel for its repeated destruction of Humsa Al Bqaia in the Jordan Valley? — all of the UN Security Council EU members #BDS https://t.co/uH5wJLPjQJ
"In her eyes you may see residues of a tear seldom a sign of fear
#Gaza #Palestine #FreePalestine https://t.co/XaWpF0Kgdv"
"@GReschenthaler @NikkiHaley @michaelgwaltz @RepJohnKatko Nah we'll just #BDS your Apartheidland instead since they are committing ACTUAL murders and crimes against humanity with your consent 
https://t.co/0zPTRBYhYH"
Hi ! israel and their military is literally a terrorist organisation and has been every single day for over 50 years. #FreePalestine
"@AJCGlobal @AJCBerlin @AJCTAI @AJC_CE @AJC_Paris Stop being in the wrong side 😔😔
Israel is estabished on bloods and land of innocent palestinians 😞
#FreePalestine 🇵🇸🇵🇸🇵🇸🇵🇸"
@BTS_UPDATES_GER @fairiesvmns Everyone screams #FreeSpeech yet as soon as someone says something? We need a new term for it. Say what you like but be ready to lose everything or get badly hurt voicing your #Opinion - https://t.co/4EdLne16M1 #JKRowling @vp #FreePalestine #AllLivesMatter @joerogan @ginacarano
"RT @PACBI: ""No state should be exempt from criticism. Regardless of whether we support #BDS or not  as signatories of this letter we share an insistent belief in the right to exercise non-violent pressure on governments that violate human rights."" https://t.co/gUYNsKEnFK"
RT @swilkinsonbc: Israel moves to seize 48 acres of beautiful Palestinian land in Al-Bireh to build a permanent rubbish tip for an illegal israeli settlement #BDS https://t.co/eUtGA53IPZ
"RT @middneews: the occupation soldiers raid #Palestinian homes every night. The occupation forces raid  Palestinian homes more than 250 times a month. A home raid by the occupation soldiers have left psychological problems ranging from anxiety and depression. 
 #BDS
https://t.co/EsnxO1PiBV"
"RT @middneews: The #Jewish settlers cut down dozens of olive trees in Walaja village  northwest of #Bethlehem.
 
#Palestine #BDS @middneews https://t.co/s0xtK8eUGM"
"RT @gazaapost: IOF Raids an Ex-prisoner's House in Jenin

#IsraeliCrimes
#Palestine
#FreePalestine
https://t.co/An703PyCVg"
"@candac19 @PepperWingate @FCDOGovUK @DominicRaab @UN_HRC **

That has NOTHING to do with what is being discussed on this thread!

You can't use it as a 'weapon' to silence people on #Twitter who have every right to criticise the #Israeli #Apartheid regime &amp; who want to bring attention to that regime's crimes against #Palestinians

#BDS"
FYI:  Tried to retweet and like a #FreePalestine tweet.  Twitter subtracted a tweet and like instead of adding it.  Tried this at least 3 times.   BEWARE OF @twitterbots
"RT @Mvoice13: I definitely recommend watching it.
This is normal daily life under #Israeli military permanent occupation.
#IsraeliCrimes 
@Mvoice13 
 #Palestinian

https://t.co/IGQwzAFjWx  #BDS"
RT @swilkinsonbc: Realising public support was declining  israel has moved to the realm of legal threats and prosecution to shield itself from scrutiny #BDS https://t.co/CenloLlHVB
"RT @BCPalestine: International activists splattered blood-red paint at an Israeli weapons factory to protest against its contribution to Israeli violations against the Palestinians.

#BDS 🇵🇸 https://t.co/5MJ3wxrr4z"
"How the f*ck is this NOT an apartheid?
How the f*ck can the rest of the world turn their head and pretend that nothing is happening?
How the f*ck can you still oppose BDS?
#BDS #ApartheidIsrael #IsraeliCrimes https://t.co/HqAR1A9ecR"
"@AndrewYang My heart also breaks for the Lie of ""supporting #bds is anti-Semitic &amp; comparable to fascism"" paraphrasing what you said. Its dissapointing &amp; you being Asian should understand that #BDS is a righteous cause. Why do you bend the knee to Israel? Does @AIPAC scare or fund you?"
@SecBlinken Now do Israel's invasion and seizure. There's been decades of killing and stealing from Palestinians. I dont know how zionist can sleep at night knowing they are complicit in the war crimes. #BDS #IsraeliCrimes #ApartheidIsrael
"RT @Mvoice13: The ONLY holder of Nuclear weapons in the #MiddleEast is #Israel!
What they're looking for?!
#Israeli #Weapons @Mvoice13  #BDS https://t.co/PlKdai4Dgg"
"Y is Israel Allowed 2 have many NUKES as they want But no other Country is Allowed? There Shouldnt B Any Nukes! Why Isn’t Anyone Talking About Israel’s Nukes? https://t.co/7ggKbl3dM5… #HandsOffIran #BDS Israel 80 Nukes;Iran 0 Who's the REAL threat? #ImpeachBidenNow https://t.co/hgmxNPxu8B https://t.co/moAMOjAZOk"
"RT @realsyriaa: Footage of Jews in New York (2015) gives thumbs down against Supporters of The Zionist entity and showing their support to Palestine with the flags:

🇵🇸✌️

#FreePalestine🇵🇸 
#Palestine 
#JerusalemPalestine
#Truth https://t.co/VsK2gVSn1E"
"Protest  in front of the Haifa court to reject the repression of the occupation &amp; to demand the release of the detainees of the Um Alfahm protests
👉Israel now is attacking Palestinians #Arab48 in #East #Jerusalem !!First Gaza then the West Bank then East Jerusalem !! #bds https://t.co/Kbp1Zj1fvl"
@BristolJsoc #Smearers for #Apartheid Don't it make you feel good? We've  done the smear campaign for 5 years in the UK 72 yrs worldwide you're rumbled mate #BDS @uobris_staff https://t.co/f8Hp5RPpSk
"RT @Ps_English1: Israeli occupation forces arrested a student at Al-Najah University  Hussam El-Din Shtayyeh  after raiding his house  in the town of Tal  at dawn.

#FreePalestine https://t.co/b6zswCOyQC"
"RT @_King_Petruk: #BDS
#SahabatPalestina_ID

Huda Ammori  co-founder of Palestine Action  explains why she believes it is important to take a stand against Israeli arms factory chain Elbit Systems . https://t.co/6tL5DUfAMG"
@sandrawatfa Take 1 minute to urge Foreign Affairs Minister @MarcGarneau  to take action to insist Israel immediately and unconditionally release former World Vision director Mohammed el-Halabi. https://t.co/EGO0VxSQul #Cdnpoli #bds
"RT @allan_crawshaw: CJPME’s supporters contributed generously to the Palestine Medical Relief Campaign. The campaign launch by CJPME Foundation &amp; Canadian Palestinian Organizations Coalition ultimately gifted $165 000 to medical equipment to help Palestinians respond to #COVID crisis. #FreePalestine https://t.co/cJCCZTnHYn"
"Now products from the Israeli occupied parts of Palestine will make profits for the occupiers by selling in Dubai  (the not so United Arab) Emirates.
#ShameOnUAE
#Palestine
#FreePalestine

https://t.co/EzL82EelIY"
"RT @Mvoice13: WE NEVER FORGET!
The #Israeli suppressed a rally in occupied Hebron to commemorate the the27th anniversary of the Ibrahimi Mosque massacre.
#Palestinians 
@Mvoice13 
#BDS https://t.co/UVrvDPCrLX"
@SecBlinken What about the annexation of the Golan Heights and effective annexation of East Jerusalem? What about the military occupation of #Palestine? Are they an affront to international law? But wait you think #Israel is above the law. That makes their war crimes acceptable. Got it #BDS
#israel is getting more savage by the day. When does it stop? #IsraeliCrimes #PalestinianLivesMatter #FreePalestine https://t.co/xVH9G0sxox
RT @BoycottAhava: #BDS follows the time-honored tradition of employing boycotts for social justice https://t.co/EJvopFBbjV https://t.co/ua70qHtquC
"RT @CAIRNational: 10-20 American mouthpieces for #Israeli government had unrivaled access to #Obama — @brhodes
WH officials have to go to the #Israel lobby AIPAC conference  but if they meet with Arab-Americans 'you can get into trouble' 
https://t.co/8zsHFXIQhR
@Mondoweiss #BDS #Israel #Palestine"
"RT @we_stand_as_one: this is srinagar  kashmir. what arw strages of the take over in palestine? you will be able to predic the next steps here- Inhuman-Take control over everyday life-Limiting movement-Take a land-Turning the majority into minority🐝
#FreeKashmir 
#FreePalestine https://t.co/ybX0OYvfTQ"
RT @swilkinsonbc: 15yr-old Palestinian boy  whose identity is being shielded  testifies to humans rights NGO that he was raped by an israeli interrogator #bds https://t.co/xMCdKgQTy3
